statecode,countycode,cropcode,state,county,state_county_code,Crop,crop_type,use,irrigation,acres
01,001,0051,Alabama,Autauga,01001,SORGHUM,GRAIN,Grain,N,267.02
01,001,0051,Alabama,Autauga,01001,SORGHUM,GRAIN,Seed,N,4
01,003,0051,Alabama,Baldwin,01003,SORGHUM,GRAIN,Grain,N,425.07
01,003,0051,Alabama,Baldwin,01003,SORGHUM,GRAIN,Silage,N,49.63
01,003,0051,Alabama,Baldwin,01003,SORGHUM,HYBRID,Silage,N,20
01,005,0051,Alabama,Barbour,01005,SORGHUM,GRAIN,Grain,N,153.1
01,013,0051,Alabama,Butler,01013,SORGHUM,GRAIN,Grain,N,124.9
01,031,0051,Alabama,Coffee,01031,SORGHUM,GRAIN,Grain,N,55.55
01,031,0051,Alabama,Coffee,01031,SORGHUM,GRAIN,Grazing,N,65
01,041,0051,Alabama,Crenshaw,01041,SORGHUM,GRAIN,Grain,N,36
01,045,0051,Alabama,Dale,01045,SORGHUM,GRAIN,Grain,N,80
01,047,0051,Alabama,Dallas,01047,SORGHUM,GRAIN,Grain,N,183.22
01,047,0051,Alabama,Dallas,01047,SORGHUM,GRAIN,Seed,N,7.24
01,049,0051,Alabama,DeKalb,01049,SORGHUM,GRAIN,Grain,N,56.21
01,051,0051,Alabama,Elmore,01051,SORGHUM,GRAIN,Grain,I,20
01,055,0051,Alabama,Etowah,01055,SORGHUM,GRAIN,Grain,N,1.01
01,061,0051,Alabama,Geneva,01061,SORGHUM,GRAIN,Grazing,N,32.59
01,063,0051,Alabama,Greene,01063,SORGHUM,GRAIN,Grain,N,5.33
01,067,0051,Alabama,Henry,01067,SORGHUM,GRAIN,Grain,N,220.92
01,067,0051,Alabama,Henry,01067,SORGHUM,GRAIN,Grazing,N,31.89
01,069,0051,Alabama,Houston,01069,SORGHUM,GRAIN,Grain,I,92
01,069,0051,Alabama,Houston,01069,SORGHUM,GRAIN,Grain,N,196
01,071,0051,Alabama,Jackson,01071,SORGHUM,GRAIN,Forage,N,29.98
01,077,0051,Alabama,Lauderdale,01077,SORGHUM,GRAIN,Grain,N,41.37
